epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,643.325,0.97303,3.36889,0.31837,0.81265,1.15973,0.80387,0.73929,0.8205,0.5833,0.77237,0.6346,0.67285,0.35792,1.01754,3.3421,0.33124,0.91347,1.16563,0.00999435,0.00333145,0.00999435,0.00333145,0.00999435,0.00333145,0.00999435,0.00333145
2,1163.58,1.11539,4.15796,0.35463,0.98221,1.24702,0.80134,0.71822,0.80796,0.55194,0.75017,0.61408,0.64137,0.31166,1.08434,3.62009,0.35116,1.07263,1.21208,0.0197469,0.00658231,0.0197469,0.00658231,0.0197469,0.00658231,0.0197469,0.00658231
3,1683.57,1.20841,4.69398,0.38167,1.10831,1.30805,0.75297,0.66028,0.75134,0.48931,0.69871,0.5233,0.54197,0.23375,1.19752,4.27595,0.38448,1.35572,1.31194,0.029252,0.00975066,0.029252,0.00975066,0.029252,0.00975066,0.029252,0.00975066
4,2259.5,1.23087,4.84034,0.39359,1.14767,1.33023,0.79715,0.68797,0.78796,0.53476,0.72966,0.58553,0.61499,0.29134,1.10306,3.83624,0.36489,1.07917,1.24642,0.0288862,0.00962875,0.0288862,0.00962875,0.0288862,0.00962875,0.0288862,0.00962875
5,2750.87,1.18135,4.57258,0.38079,1.08428,1.29813,0.80766,0.70466,0.80659,0.56723,0.76587,0.59887,0.64288,0.32458,1.04673,3.5649,0.3547,1.01103,1.20345,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
6,3241.76,1.15404,4.42288,0.37215,1.04949,1.27892,0.81694,0.73253,0.82689,0.59156,0.77579,0.63696,0.67901,0.35364,1.00783,3.37806,0.34517,0.937,1.16943,0.0281437,0.00938125,0.0281437,0.00938125,0.0281437,0.00938125,0.0281437,0.00938125
7,3745.12,1.13423,4.31574,0.3663,1.02298,1.26539,0.82191,0.73929,0.83476,0.60207,0.78845,0.64483,0.692,0.37475,0.98469,3.25272,0.3379,0.88931,1.15535,0.0277725,0.0092575,0.0277725,0.0092575,0.0277725,0.0092575,0.0277725,0.0092575
8,4322.04,1.12008,4.22977,0.36232,1.00576,1.25863,0.824,0.74323,0.84267,0.61428,0.78812,0.64766,0.70169,0.38855,0.96136,3.14768,0.33244,0.88563,1.13835,0.0274012,0.00913375,0.0274012,0.00913375,0.0274012,0.00913375,0.0274012,0.00913375
9,4860.02,1.11191,4.18342,0.35832,0.99144,1.25019,0.81977,0.75331,0.84792,0.62209,0.79562,0.66089,0.7137,0.40008,0.94835,3.08444,0.32888,0.85981,1.12937,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
10,5350.51,1.09924,4.1199,0.35488,0.97821,1.24224,0.83231,0.74874,0.85118,0.6287,0.7894,0.67273,0.71962,0.40898,0.93303,3.0341,0.32635,0.8398,1.12056,0.0266587,0.00888625,0.0266587,0.00888625,0.0266587,0.00888625,0.0266587,0.00888625
