epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,505.23,0.9553,3.27502,0.31477,0.7908,1.14876,0.7982,0.73043,0.82166,0.59497,0.76789,0.64271,0.68619,0.36441,0.98604,3.19654,0.32847,0.98916,1.14081,0.00999153,0.00333051,0.00999153,0.00333051,0.00999153,0.00333051,0.00999153,0.00333051
2,1004.53,1.10174,4.1003,0.35124,0.96571,1.236,0.72927,0.66798,0.732,0.48283,0.67359,0.53149,0.53494,0.2345,1.20765,4.21316,0.37472,1.21581,1.31732,0.0195957,0.0065319,0.0195957,0.0065319,0.0195957,0.0065319,0.0195957,0.0065319
3,1511.04,1.22981,4.81969,0.3883,1.13414,1.32108,0.73214,0.63255,0.70841,0.45092,0.64228,0.50598,0.49663,0.20041,1.23526,4.46827,0.39567,1.64582,1.34358,0.0288039,0.00960129,0.0288039,0.00960129,0.0288039,0.00960129,0.0288039,0.00960129
4,2021.03,1.24373,4.89742,0.39728,1.15654,1.33408,0.78133,0.68388,0.77791,0.51659,0.71029,0.56351,0.57538,0.25409,1.15568,4.048,0.37612,1.11572,1.26886,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
5,2530.01,1.18566,4.59299,0.38229,1.08544,1.30036,0.80037,0.70954,0.80942,0.56371,0.75211,0.60642,0.64551,0.32224,1.06039,3.61714,0.35672,1.00652,1.20897,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
6,3037.45,1.15206,4.41029,0.37212,1.04269,1.27703,0.81744,0.7319,0.83249,0.59126,0.77694,0.63618,0.67821,0.3569,1.01896,3.38275,0.34598,0.93277,1.18065,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
7,3544.91,1.13,4.30171,0.36523,1.01226,1.26233,0.81787,0.74231,0.83748,0.60406,0.79564,0.64173,0.69556,0.37589,0.98244,3.25205,0.33766,0.90465,1.15807,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
8,4050.94,1.1146,4.20349,0.36014,0.99425,1.25235,0.8149,0.74645,0.84337,0.61445,0.78586,0.65176,0.70338,0.39132,0.96432,3.12235,0.3317,0.87508,1.13591,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
9,4558.29,1.1046,4.15876,0.35586,0.97958,1.24374,0.82257,0.75708,0.85093,0.62523,0.79379,0.66231,0.71767,0.40313,0.9436,3.04446,0.32821,0.85002,1.12713,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
10,5068.23,1.09456,4.09273,0.35349,0.96428,1.23843,0.8353,0.75373,0.85581,0.63146,0.7974,0.67554,0.724,0.41446,0.93012,2.9791,0.32421,0.83285,1.11739,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
