epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,61.3716,0.44001,1.02482,0.11976,0.27842,0.87207,0.98831,0.95557,0.98584,0.83663,0.97022,0.93751,0.95521,0.75235,0.65825,1.23374,0.12883,0.31476,0.80413,0.000166076,0.000166076,0.0669509
2,98.4678,0.42222,0.84647,0.12035,0.26797,0.86343,0.99366,0.96638,0.99078,0.83842,0.97434,0.94758,0.95683,0.75634,0.60709,1.15588,0.12362,0.3019,0.78409,0.000326154,0.000326154,0.0337777
3,134.702,0.44122,0.82734,0.12256,0.27961,0.87272,0.99365,0.9649,0.98911,0.86072,0.9703,0.93936,0.96053,0.76204,0.57812,1.15939,0.12211,0.28132,0.77832,0.000479632,0.000479632,0.000597836
4,170.39,0.44614,0.83612,0.12303,0.28247,0.87617,0.98105,0.97739,0.99059,0.9026,0.97634,0.93834,0.9598,0.76964,0.45261,1.20159,0.13017,0.26812,0.75888,0.0004703,0.0004703,0.0004703
5,205.163,0.44735,0.86949,0.12631,0.28391,0.87914,0.98745,0.96711,0.99027,0.88936,0.97471,0.93834,0.96105,0.79141,0.5059,1.14207,0.12655,0.27337,0.76621,0.0004604,0.0004604,0.0004604
6,240.125,0.44059,0.85791,0.1242,0.2788,0.87479,0.99259,0.96356,0.98875,0.86353,0.98071,0.94046,0.96006,0.76802,0.55801,1.16664,0.12022,0.2703,0.77024,0.0004505,0.0004505,0.0004505
7,276.029,0.43099,0.84026,0.12329,0.27441,0.86859,0.98546,0.97548,0.99114,0.85818,0.97398,0.94039,0.96376,0.79322,0.59901,1.1281,0.12503,0.27713,0.7769,0.0004406,0.0004406,0.0004406
8,311.32,0.43112,0.83444,0.12285,0.27524,0.86786,0.98646,0.97321,0.98931,0.86354,0.97438,0.93824,0.95933,0.78081,0.56195,1.14015,0.12604,0.29053,0.77449,0.0004307,0.0004307,0.0004307
9,346.6,0.4337,0.80891,0.1208,0.27635,0.87085,0.98847,0.96896,0.98996,0.86409,0.97738,0.93936,0.9648,0.76897,0.57203,1.19218,0.12304,0.29284,0.77849,0.0004208,0.0004208,0.0004208
10,381.605,0.43211,0.80269,0.12106,0.27414,0.87063,0.98953,0.97139,0.98933,0.82623,0.97423,0.93245,0.95699,0.78862,0.70356,1.13482,0.12272,0.31859,0.80004,0.0004109,0.0004109,0.0004109
11,416.502,0.43899,0.81671,0.12124,0.2787,0.87115,0.98954,0.9719,0.98979,0.91259,0.97483,0.94245,0.95764,0.78781,0.43497,1.12851,0.12018,0.24879,0.75768,0.000401,0.000401,0.000401
12,451.496,0.42584,0.78276,0.12047,0.27024,0.86627,0.98328,0.96729,0.98933,0.85279,0.98066,0.93811,0.96386,0.77913,0.61321,1.14038,0.13337,0.29095,0.78352,0.0003911,0.0003911,0.0003911
13,486.251,0.42257,0.79335,0.11939,0.27143,0.86744,0.99264,0.97017,0.99166,0.88276,0.97576,0.93936,0.96136,0.79659,0.51074,1.11487,0.1222,0.2636,0.7648,0.0003812,0.0003812,0.0003812
14,521.282,0.42272,0.77359,0.12244,0.2669,0.8684,0.98689,0.96711,0.989,0.83664,0.97529,0.93731,0.95818,0.78819,0.64619,1.11899,0.12398,0.30338,0.78745,0.0003713,0.0003713,0.0003713
15,556.328,0.42829,0.78766,0.12186,0.27059,0.87064,0.98562,0.9702,0.99122,0.88359,0.97198,0.93834,0.95839,0.77847,0.51224,1.15819,0.12309,0.27565,0.7647,0.0003614,0.0003614,0.0003614
16,591.389,0.41883,0.76061,0.11708,0.26523,0.86643,0.99256,0.9702,0.98986,0.88539,0.97219,0.93422,0.95401,0.78448,0.49881,1.13288,0.12717,0.26526,0.76058,0.0003515,0.0003515,0.0003515
17,626.495,0.42076,0.79573,0.11894,0.26722,0.86688,0.98514,0.9702,0.98987,0.87604,0.97217,0.93358,0.95954,0.78867,0.52438,1.12113,0.12314,0.26036,0.7619,0.0003416,0.0003416,0.0003416
18,661.284,0.41608,0.74215,0.11955,0.26433,0.86747,0.98872,0.9702,0.99031,0.86218,0.96838,0.94414,0.96024,0.78099,0.57893,1.12843,0.12535,0.26898,0.77022,0.0003317,0.0003317,0.0003317
19,696.135,0.4084,0.73151,0.11803,0.25985,0.86321,0.99156,0.96566,0.98929,0.8288,0.96984,0.94039,0.95668,0.78126,0.68707,1.17854,0.12418,0.3241,0.79504,0.0003218,0.0003218,0.0003218
20,731.579,0.40902,0.72654,0.11682,0.26087,0.86161,0.9855,0.97225,0.98794,0.8542,0.97366,0.92909,0.9562,0.76644,0.58803,1.14857,0.12247,0.27695,0.77851,0.0003119,0.0003119,0.0003119
21,766.715,0.40525,0.72016,0.11508,0.2554,0.85964,0.97912,0.97122,0.98679,0.83121,0.97319,0.93936,0.95744,0.78972,0.65344,1.10169,0.12712,0.30958,0.7907,0.000302,0.000302,0.000302
22,801.506,0.40882,0.72543,0.11755,0.25891,0.8638,0.99264,0.96966,0.98883,0.85397,0.9736,0.94742,0.95953,0.79936,0.57758,1.06855,0.12453,0.28026,0.7722,0.0002921,0.0002921,0.0002921
23,836.756,0.40964,0.71082,0.11728,0.25971,0.86453,0.98977,0.96711,0.98827,0.86008,0.9768,0.93731,0.9582,0.79304,0.56245,1.08579,0.12497,0.27834,0.76889,0.0002822,0.0002822,0.0002822
24,871.781,0.39707,0.71571,0.11528,0.25281,0.86013,0.98331,0.96904,0.98809,0.86374,0.97264,0.93628,0.95831,0.78644,0.53828,1.0971,0.12112,0.26723,0.76509,0.0002723,0.0002723,0.0002723
25,906.646,0.40306,0.70249,0.11451,0.25432,0.8601,0.99258,0.96243,0.98696,0.85707,0.97639,0.93511,0.95935,0.78876,0.56987,1.09598,0.12987,0.27219,0.76859,0.0002624,0.0002624,0.0002624
26,941.583,0.39982,0.69694,0.11478,0.25344,0.8618,0.98544,0.97398,0.99068,0.86483,0.97252,0.93834,0.96177,0.7837,0.57856,1.1401,0.12879,0.27937,0.77268,0.0002525,0.0002525,0.0002525
27,977.226,0.39342,0.67704,0.11073,0.24722,0.85558,0.98708,0.96814,0.99072,0.87299,0.97353,0.94142,0.96003,0.7871,0.53181,1.09482,0.12493,0.2545,0.76214,0.0002426,0.0002426,0.0002426
