epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,47.4073,0.7675,1.92177,0.2007,0.44008,1.01339,0.9812,0.96814,0.98699,0.74111,0.96496,0.93391,0.93784,0.60427,0.90717,1.66305,0.15873,0.41045,0.86389,0.000166076,0.000166076,0.0669509
2,76.5231,0.73714,1.67674,0.18726,0.42697,0.99244,0.98306,0.96711,0.98764,0.72389,0.97088,0.9253,0.94418,0.68748,1.03457,1.40981,0.15012,0.43449,0.89801,0.000328625,0.000328625,0.0337802
3,106.442,0.74291,1.57456,0.1842,0.42606,0.99268,0.97835,0.97518,0.98625,0.76621,0.97103,0.93009,0.94755,0.646,0.87455,1.51746,0.14429,0.40308,0.85225,0.000487049,0.000487049,0.000605252
4,136.358,0.73059,1.51267,0.17847,0.42701,0.98817,0.99041,0.95533,0.98618,0.75189,0.97149,0.93114,0.94562,0.7095,0.92581,1.3465,0.14395,0.41108,0.86928,0.000481438,0.000481438,0.000481438
5,166.41,0.71666,1.44798,0.1781,0.41599,0.98087,0.9849,0.96197,0.98958,0.78626,0.96831,0.94203,0.95335,0.70615,0.82492,1.37339,0.14195,0.41233,0.84806,0.00047525,0.00047525,0.00047525
6,195.71,0.68602,1.42087,0.17461,0.4082,0.97184,0.9782,0.96711,0.98556,0.77545,0.9753,0.93354,0.95258,0.6877,0.81467,1.37521,0.13155,0.36627,0.84474,0.000469063,0.000469063,0.000469063
7,224.215,0.64376,1.3818,0.17198,0.39009,0.95305,0.98123,0.96403,0.98933,0.75789,0.97746,0.92909,0.94778,0.65653,0.864,1.54949,0.14158,0.39615,0.85586,0.000462875,0.000462875,0.000462875
8,252.309,0.62989,1.36812,0.16891,0.38426,0.9491,0.99468,0.96108,0.989,0.79567,0.9709,0.93731,0.95325,0.70503,0.77001,1.4229,0.13875,0.36571,0.82778,0.000456687,0.000456687,0.000456687
9,280.175,0.6014,1.27314,0.16141,0.36761,0.93922,0.98959,0.97738,0.98852,0.79287,0.96944,0.94546,0.94951,0.72217,0.74671,1.32686,0.13501,0.34812,0.82074,0.0004505,0.0004505,0.0004505
10,311.609,0.59985,1.25535,0.164,0.36925,0.94177,0.98293,0.97431,0.98651,0.71404,0.97292,0.93011,0.95387,0.73126,1.00027,1.28717,0.13533,0.40167,0.88155,0.000444312,0.000444312,0.000444312
11,344.407,0.59303,1.24282,0.16105,0.36337,0.9356,0.98788,0.96814,0.98636,0.80283,0.97321,0.93348,0.9557,0.74847,0.72467,1.19399,0.13231,0.34513,0.80895,0.000438125,0.000438125,0.000438125
12,376.98,0.5873,1.18606,0.15865,0.35722,0.93167,0.98189,0.96711,0.99133,0.79658,0.97437,0.93781,0.95784,0.73608,0.74505,1.23962,0.13446,0.35619,0.8207,0.000431938,0.000431938,0.000431938
